###PLEASE READ
#This file contains mean gene expression values for every gene in every cell type of Drosophila melanogaster Ral517, as published in Witt et al. 2019. It is important to note that for most genes you are likely to observe a drop-off in expression in late spermatocytes, early spermatids, and late spermatids due to global post-meiotic down-regulation of gene expression.  Be careful not to over-interpret such events unless your #gene of interest deviates from global expression trends. 
#


"RNA.Early.spermatids" "RNA.Late.spermatocytes" "RNA.Early.spermatocytes" "RNA.Hub.cells" "RNA.Cyst" "RNA.Late.spermatogonia" "RNA.GSC..Early.spermatogonia" "RNA.Epithelial.cells" "RNA.Late.spermatids"
"Pten" 0.332322890603653 0.347573208151751 0.333936093181968 0.327034702483893 0.387458379048946 0.473876726129059 0.443490298526136 0.272087272759377 0.198005275298636
"CG4375" 15.234263802191 14.8037576226493 11.5190689553316 11.1182407338149 9.51478581219857 5.24456613453266 2.533255240946 9.19562552759438 8.52977621216161
"Rsf1" 0.328748307055656 0.324568261043877 0.342241742913749 0.389342357214935 0.511233184870656 1.02551940922492 2.07983515647653 0.416858976177576 0.237984008592539
"REPTOR-BP" 0.0322493820457742 0.0240278940890548 0.0259017387402512 0.0406157568634008 0.0334018767681708 0.058957198542258 0.435744413386359 0.259039560915408 0.0124104110011402
"Mob3" 0.0280418988460664 0.043109586542862 0.0800439041025766 0.255637178570712 0.45063213352079 1.44204384986716 1.73993795052868 0.129761612401744 0.0830978350030892
"CG4953" 0.00977462754341859 0.0164070817326211 0.0196182222236423 0.0322916165213681 0.0472974951379714 0.086229451018157 0.183334106493667 0.0337249698857687 0.030953665210077
"CG4957" 0.310887921918343 0.369337419276311 0.318187701484632 0.412433963282105 0.435340965600737 0.680002136316277 0.746548500720686 0.22952967875415 0.2074250471235
"Mulk" 0.289229673058955 0.286007364652433 0.329015273656886 0.345759452393993 0.524000339141527 0.787083577220105 1.00671864570974 0.230944974889682 0.207068648012236
"trk" 0 0.000614630553460918 0 0.000846678682730532 0.0026432302307344 0.00938424426507223 0.0594126565918714 0.00431104529365911 0
"Utx" 0.0565145237598241 0.0667455499651585 0.0618418806326858 0.0972896057733013 0.0932689547571284 0.194465629233564 0.349918906982996 0.0718414900821621 0.0164930770309163
"CG34043" 0 0.00241156015991091 0.00184261891768249 0.00598578045243916 0.00161016354644657 0.00219024603339707 0.00915191299657992 0 0
"Ufd4" 0.197068433123081 0.178900790231062 0.164521131429869 0.216237138798407 0.142181226813454 0.143806787779276 0.225273207649418 0.27673589881078 0.205634230458837
"Hand" 0.069748598289219 0.0704137621108585 0.0769731724670448 0.0697796270626934 0.0945627896984237 0.11127357187926 0.0825639154842729 0.0421557667254768 0.0481661880247523
"CYLD" 0.799031307194085 0.817186493365311 0.782570968380044 0.8228379661532 0.771943539998232 0.786866018006855 0.619826108456672 0.60413377233095 1.05778829562717
"CR44968" 0.00429302068683936 0.000920587677380048 0.000579452519418161 0 0.00100043275421082 0 0.00644062644109017 0.000718962875920524 0
"CG13138" 0.0129177714023166 0.014176339486446 0.0113771028761747 0.00529753758693866 0.00685422849255822 0.00340162671329357 0 0.0129893429149715 0
"nmd" 0.0927867054024849 0.0871924075947429 0.156346999383025 0.416311361428072 0.937305950210718 1.75811835227128 2.25925393596864 0.304465262136501 0.0596025617545807
"CG5390" 0.0819991983393957 0.0707508337338497 0.0848099486234706 0.0767531106289761 0.098890906268306 0.0686018695923696 0.0309222586759544 0.38541026154317 0.120226659290813
"CG4968" 6.04764277594995 5.74769436475986 5.94624233032249 5.73643435007875 5.94381949416845 6.19756433298736 6.73574134811376 4.40224911737837 3.96690012925046
"Cdk5alpha" 0.0160209964882894 0.0158642835590369 0.0203958833558885 0.0586023876858161 0.0643061274093691 0.118049133137331 0.0511980424465775 0.0232333366299121 0
"l(2)SH0834" 1.03485449386258 1.09440348947658 0.998096798084031 1.07938825650966 1.1645083484169 1.73556009533617 2.02591796246626 0.709337757922423 0.700900191489644
"Usp14" 0.637950759157336 0.639049361999436 0.955711431791355 1.18479229853437 1.85409330669298 3.18922315990163 4.65796526210546 0.806467654649945 0.466680959384843
"CG4972" 0.339389863475562 0.396223719243028 0.396080803203184 0.477973026632915 0.49337884635709 0.865563085411119 0.97975707851704 0.270094300040757 0.15998285738764
"CG5381" 0.0180237984976525 0.0157848703192634 0.0153650008582597 0.00831644922763602 0.0140415533026018 0.0114862587343779 0.0114256713624995 0.0250240401022214 0.0413541572280172
"CG4995" 2.30780653680372 2.11330125676495 1.86549721584825 1.79859643698378 1.6365058458893 1.35039378344743 0.866245794260214 1.29770861943221 4.94972691319636
"RnrL" 0.0023348434078377 0.00202888476679058 0.00234066834734775 0.0110751199312923 0.00413165478093443 0.0035260465923088 0.0201835221829197 0.0465436353833173 0.016049277702257
"Schip1" 0.0206353537230387 0.030514070272541 0.0264542832836214 0.0473692226520498 0.0350469201728077 0.0574962500380917 0.0807627453557736 0.00202411368468298 0
"CG5037" 0.679393761042101 0.685370677382975 0.793145213861878 0.706070654560305 1.11237964167599 1.46360872169402 0.931196162624155 0.521578937525686 0.31872403631237
"GATAd" 0.0676665695547195 0.079239803552113 0.0763942395726828 0.0732272549940641 0.107643228279595 0.191066367924218 0.247630925111838 0.077440270142371 0.0326111006794671
"SamDC" 0.0481092081128194 0.0491202273554119 0.0987193686102872 0.189651855611651 0.407199848764214 0.793439753322821 1.00752350807118 0.146818399774381 0.0835371330358559
"CG31715" 0.2205505685053 0.326713514213751 0.73945265673149 1.04735044244817 1.72704435769055 2.68538821756925 3.77238438954485 1.15327447203336 0.188986161228733
"Sps2" 0.178263603921832 0.195865368870438 0.217839866140481 0.273520201437476 0.263402098915587 0.181863942443058 0.146018375335695 0.155723717121816 0.164846022891658
"CG5022" 0.00139694807022385 0.000845549983004029 0.00202769027276796 0 0.00198935374531218 0.00112490924794642 0.0104925730806358 0.00915634491082202 0
"CG34367" 0.154061319497871 0.203099686434163 0.288659434764037 0.322181263128037 0.49764996781322 0.50379492352442 0.250967636220886 0.0999053504881507 0.107858546872323
"CG5367" 0 0.00236326410424304 0.00135432183070372 0 0.00237516306741709 0.00113429959778871 0 0.00646355588648962 0
"CG5045" 5.30863240159567 5.29880663586202 5.53962421039452 4.80783821037724 4.91969851106473 4.17768016273473 3.8701513305677 3.71874953676837 6.02147687437123
"Cand1" 0.209815360491541 0.205543621469428 0.217198072404907 0.266930072677831 0.208905802505797 0.284412264587058 0.442902361224653 0.228042929914305 0.223209838473481
"pim" 0.888733103313956 2.31026966874931 4.72301905472673 3.39030646715645 3.92036788923039 3.13275003453182 2.13913539075395 1.35315583407555 0.552623561566919
